vessel_id,vessel_name,current_region,route_corridor,cargo_type,value_usd,priority,status,origin_port,destination_port
V00031,Strait-031,Strait of Malacca,Singapore-Westbound,Semiconductor Wafers,9042500.00,Critical,At Sea,Los Angeles,Singapore
V00032,Strait-032,Strait of Malacca,Singapore-Westbound,Crude Oil,24560000.00,Critical,In Transit,Houston,London
V00033,Strait-033,Strait of Malacca,Singapore-Westbound,Consumer Electronics,6977500.00,High,Awaiting Berth,Rotterdam,Kaohsiung
V00034,Strait-034,Strait of Malacca,Singapore-Westbound,Medical Supplies,3795000.00,High,Customs Hold,Busan,Shanghai
V00035,Strait-035,Strait of Malacca,Singapore-Westbound,Automotive Components,4712500.00,High,Scheduled,Yokohama,Jebel Ali
V00036,Strait-036,Strait of Malacca,Singapore-Westbound,Industrial Machinery,6430000.00,Medium,At Sea,Kaohsiung,Panama City
V00037,Strait-037,Strait of Malacca,Singapore-Westbound,Battery Cells,7847500.00,High,In Transit,Dubai,Suez
V00038,Strait-038,Strait of Malacca,Singapore-Westbound,Containerized Retail Goods,3265000.00,Medium,Awaiting Berth,Mumbai,Bangkok
V00039,Strait-039,Strait of Malacca,Singapore-Westbound,LNG Equipment,10282500.00,Critical,Customs Hold,Bangkok,Rotterdam
V00040,Strait-040,Strait of Malacca,Singapore-Westbound,Telecom Hardware,6000000.00,High,Scheduled,Hamburg,Manila
V00041,Strait-041,Strait of Malacca,Singapore-Westbound,Semiconductor Wafers,9217500.00,Critical,At Sea,Los Angeles,Singapore
V00042,Strait-042,Strait of Malacca,Singapore-Westbound,Crude Oil,24735000.00,Critical,In Transit,Houston,London
V00043,Strait-043,Strait of Malacca,Singapore-Westbound,Consumer Electronics,7152500.00,High,Awaiting Berth,Rotterdam,Kaohsiung
V00044,Strait-044,Strait of Malacca,Singapore-Westbound,Medical Supplies,3970000.00,High,Customs Hold,Busan,Shanghai
V00045,Strait-045,Strait of Malacca,Singapore-Westbound,Automotive Components,4887500.00,High,Scheduled,Yokohama,Jebel Ali
V00046,Strait-046,Strait of Malacca,Singapore-Westbound,Industrial Machinery,6605000.00,Medium,At Sea,Kaohsiung,Panama City
V00047,Strait-047,Strait of Malacca,Singapore-Westbound,Battery Cells,8022500.00,High,In Transit,Dubai,Suez
V00048,Strait-048,Strait of Malacca,Singapore-Westbound,Containerized Retail Goods,3440000.00,Medium,Awaiting Berth,Mumbai,Bangkok
V00049,Strait-049,Strait of Malacca,Singapore-Westbound,LNG Equipment,10457500.00,Critical,Customs Hold,Bangkok,Rotterdam
V00050,Strait-050,Strait of Malacca,Singapore-Westbound,Telecom Hardware,6175000.00,High,Scheduled,Hamburg,Manila
V00051,Strait-051,Strait of Malacca,Singapore-Westbound,Semiconductor Wafers,9392500.00,Critical,At Sea,Los Angeles,Singapore
V00052,Strait-052,Strait of Malacca,Singapore-Westbound,Crude Oil,24910000.00,Critical,In Transit,Houston,London
V00053,Strait-053,Strait of Malacca,Singapore-Westbound,Consumer Electronics,7327500.00,High,Awaiting Berth,Rotterdam,Kaohsiung
V00054,Strait-054,Strait of Malacca,Singapore-Westbound,Medical Supplies,4145000.00,High,Customs Hold,Busan,Shanghai
V00055,Strait-055,Strait of Malacca,Singapore-Westbound,Automotive Components,5062500.00,High,Scheduled,Yokohama,Jebel Ali
V00056,Strait-056,Strait of Malacca,Singapore-Westbound,Industrial Machinery,6780000.00,Medium,At Sea,Kaohsiung,Panama City
V00057,Strait-057,Strait of Malacca,Singapore-Westbound,Battery Cells,8197500.00,High,In Transit,Dubai,Suez
V00058,Strait-058,Strait of Malacca,Singapore-Westbound,Containerized Retail Goods,3615000.00,Medium,Awaiting Berth,Mumbai,Bangkok
V00059,Strait-059,Strait of Malacca,Singapore-Westbound,LNG Equipment,10632500.00,Critical,Customs Hold,Bangkok,Rotterdam
V00060,Strait-060,Strait of Malacca,Singapore-Westbound,Telecom Hardware,6350000.00,High,Scheduled,Hamburg,Manila
V00061,Strait-061,Strait of Malacca,Singapore-Westbound,Semiconductor Wafers,9567500.00,Critical,At Sea,Los Angeles,Singapore
V00062,Strait-062,Strait of Malacca,Singapore-Westbound,Crude Oil,25085000.00,Critical,In Transit,Houston,London
V00063,Strait-063,Strait of Malacca,Singapore-Westbound,Consumer Electronics,7502500.00,High,Awaiting Berth,Rotterdam,Kaohsiung
V00064,Strait-064,Strait of Malacca,Singapore-Westbound,Medical Supplies,4320000.00,High,Customs Hold,Busan,Shanghai
V00065,Strait-065,Strait of Malacca,Singapore-Westbound,Automotive Components,5237500.00,High,Scheduled,Yokohama,Jebel Ali
V00066,Strait-066,Strait of Malacca,Singapore-Westbound,Industrial Machinery,6955000.00,Medium,At Sea,Kaohsiung,Panama City
V00067,Strait-067,Strait of Malacca,Singapore-Westbound,Battery Cells,8372500.00,High,In Transit,Dubai,Suez
V00068,Strait-068,Strait of Malacca,Singapore-Westbound,Containerized Retail Goods,3790000.00,Medium,Awaiting Berth,Mumbai,Bangkok
V00069,Strait-069,Strait of Malacca,Singapore-Westbound,LNG Equipment,10807500.00,Critical,Customs Hold,Bangkok,Rotterdam
V00070,Strait-070,Strait of Malacca,Singapore-Westbound,Telecom Hardware,6525000.00,High,Scheduled,Hamburg,Manila
V00071,Strait-071,Strait of Malacca,Singapore-Westbound,Semiconductor Wafers,9742500.00,Critical,At Sea,Los Angeles,Singapore
V00072,Strait-072,Strait of Malacca,Singapore-Westbound,Crude Oil,25260000.00,Critical,In Transit,Houston,London
V00073,Strait-073,Strait of Malacca,Singapore-Westbound,Consumer Electronics,7677500.00,High,Awaiting Berth,Rotterdam,Kaohsiung
V00074,Strait-074,Strait of Malacca,Singapore-Westbound,Medical Supplies,4495000.00,High,Customs Hold,Busan,Shanghai
V00075,Strait-075,Strait of Malacca,Singapore-Westbound,Automotive Components,5412500.00,High,Scheduled,Yokohama,Jebel Ali
V00076,Strait-076,Strait of Malacca,Singapore-Westbound,Industrial Machinery,7130000.00,Medium,At Sea,Kaohsiung,Panama City
V00077,Strait-077,Strait of Malacca,Singapore-Westbound,Battery Cells,8547500.00,High,In Transit,Dubai,Suez
V00078,Strait-078,Strait of Malacca,Singapore-Westbound,Containerized Retail Goods,3965000.00,Medium,Awaiting Berth,Mumbai,Bangkok
V00079,Strait-079,Strait of Malacca,Singapore-Westbound,LNG Equipment,10982500.00,Critical,Customs Hold,Bangkok,Rotterdam
V00080,Strait-080,Strait of Malacca,Singapore-Westbound,Telecom Hardware,6700000.00,High,Scheduled,Hamburg,Manila
V00081,Strait-081,Strait of Malacca,Singapore-Westbound,Semiconductor Wafers,9917500.00,Critical,At Sea,Los Angeles,Singapore
V00082,Strait-082,Strait of Malacca,Singapore-Westbound,Crude Oil,25435000.00,Critical,In Transit,Houston,London
V00083,Strait-083,Strait of Malacca,Singapore-Westbound,Consumer Electronics,7852500.00,High,Awaiting Berth,Rotterdam,Kaohsiung
V00084,Strait-084,Strait of Malacca,Singapore-Westbound,Medical Supplies,4670000.00,High,Customs Hold,Busan,Shanghai
V00085,Strait-085,Strait of Malacca,Singapore-Westbound,Automotive Components,5587500.00,High,Scheduled,Yokohama,Jebel Ali
V00086,Strait-086,Strait of Malacca,Singapore-Westbound,Industrial Machinery,7305000.00,Medium,At Sea,Kaohsiung,Panama City
V00087,Strait-087,Strait of Malacca,Singapore-Westbound,Battery Cells,8722500.00,High,In Transit,Dubai,Suez
V00088,Strait-088,Strait of Malacca,Singapore-Westbound,Containerized Retail Goods,4140000.00,Medium,Awaiting Berth,Mumbai,Bangkok
V00089,Strait-089,Strait of Malacca,Singapore-Westbound,LNG Equipment,11157500.00,Critical,Customs Hold,Bangkok,Rotterdam
V00090,Strait-090,Strait of Malacca,Singapore-Westbound,Telecom Hardware,6875000.00,High,Scheduled,Hamburg,Manila
V00091,Strait-091,Strait of Malacca,Singapore-Westbound,Semiconductor Wafers,10092500.00,Critical,At Sea,Los Angeles,Singapore
V00092,Strait-092,Strait of Malacca,Singapore-Westbound,Crude Oil,25610000.00,Critical,In Transit,Houston,London
V00093,Strait-093,Strait of Malacca,Singapore-Westbound,Consumer Electronics,8027500.00,High,Awaiting Berth,Rotterdam,Kaohsiung
V00094,Strait-094,Strait of Malacca,Singapore-Westbound,Medical Supplies,4845000.00,High,Customs Hold,Busan,Shanghai
V00095,Strait-095,Strait of Malacca,Singapore-Westbound,Automotive Components,5762500.00,High,Scheduled,Yokohama,Jebel Ali
V00096,Strait-096,Strait of Malacca,Singapore-Westbound,Industrial Machinery,7480000.00,Medium,At Sea,Kaohsiung,Panama City
V00097,Strait-097,Strait of Malacca,Singapore-Westbound,Battery Cells,8897500.00,High,In Transit,Dubai,Suez
V00098,Strait-098,Strait of Malacca,Singapore-Westbound,Containerized Retail Goods,4315000.00,Medium,Awaiting Berth,Mumbai,Bangkok
V00099,Strait-099,Strait of Malacca,Singapore-Westbound,LNG Equipment,11332500.00,Critical,Customs Hold,Bangkok,Rotterdam
V00100,Strait-100,Strait of Malacca,Singapore-Westbound,Telecom Hardware,7050000.00,High,Scheduled,Hamburg,Manila
V00101,Strait-101,Strait of Malacca,Singapore-Westbound,Semiconductor Wafers,10267500.00,Critical,At Sea,Los Angeles,Singapore
V00102,Strait-102,Strait of Malacca,Singapore-Westbound,Crude Oil,25785000.00,Critical,In Transit,Houston,London
V00103,Strait-103,Strait of Malacca,Singapore-Westbound,Consumer Electronics,8202500.00,High,Awaiting Berth,Rotterdam,Kaohsiung
V00104,Strait-104,Strait of Malacca,Singapore-Westbound,Medical Supplies,5020000.00,High,Customs Hold,Busan,Shanghai
V00105,Strait-105,Strait of Malacca,Singapore-Westbound,Automotive Components,5937500.00,High,Scheduled,Yokohama,Jebel Ali
V00106,Strait-106,Strait of Malacca,Singapore-Westbound,Industrial Machinery,7655000.00,Medium,At Sea,Kaohsiung,Panama City
V00107,Strait-107,Strait of Malacca,Singapore-Westbound,Battery Cells,9072500.00,High,In Transit,Dubai,Suez
V00108,Strait-108,Strait of Malacca,Singapore-Westbound,Containerized Retail Goods,4490000.00,Medium,Awaiting Berth,Mumbai,Bangkok
V00109,Strait-109,Strait of Malacca,Singapore-Westbound,LNG Equipment,11507500.00,Critical,Customs Hold,Bangkok,Rotterdam
V00110,Strait-110,Strait of Malacca,Singapore-Westbound,Telecom Hardware,7225000.00,High,Scheduled,Hamburg,Manila
V00111,Strait-111,Strait of Malacca,Singapore-Westbound,Semiconductor Wafers,10442500.00,Critical,At Sea,Los Angeles,Singapore
V00112,Strait-112,Strait of Malacca,Singapore-Westbound,Crude Oil,25960000.00,Critical,In Transit,Houston,London
V00113,Strait-113,Strait of Malacca,Singapore-Westbound,Consumer Electronics,8377500.00,High,Awaiting Berth,Rotterdam,Kaohsiung
V00114,Strait-114,Strait of Malacca,Singapore-Westbound,Medical Supplies,5195000.00,High,Customs Hold,Busan,Shanghai
V00115,Strait-115,Strait of Malacca,Singapore-Westbound,Automotive Components,6112500.00,High,Scheduled,Yokohama,Jebel Ali
V00116,Strait-116,Strait of Malacca,Singapore-Westbound,Industrial Machinery,7830000.00,Medium,At Sea,Kaohsiung,Panama City
V00117,Strait-117,Strait of Malacca,Singapore-Westbound,Battery Cells,9247500.00,High,In Transit,Dubai,Suez
V00118,Strait-118,Strait of Malacca,Singapore-Westbound,Containerized Retail Goods,4665000.00,Medium,Awaiting Berth,Mumbai,Bangkok
V00119,Strait-119,Strait of Malacca,Singapore-Westbound,LNG Equipment,11682500.00,Critical,Customs Hold,Bangkok,Rotterdam
V00120,Strait-120,Strait of Malacca,Singapore-Westbound,Telecom Hardware,7400000.00,High,Scheduled,Hamburg,Manila
V00121,Red-001,Red Sea,Red-Sea-Corridor,Semiconductor Wafers,8517500.00,Critical,At Sea,Los Angeles,Singapore
V00122,Red-002,Red Sea,Red-Sea-Corridor,Crude Oil,24035000.00,Critical,In Transit,Houston,London
V00123,Red-003,Red Sea,Red-Sea-Corridor,Consumer Electronics,6452500.00,High,Awaiting Berth,Rotterdam,Kaohsiung
V00124,Red-004,Red Sea,Red-Sea-Corridor,Medical Supplies,3270000.00,High,Customs Hold,Busan,Shanghai
V00125,Red-005,Red Sea,Red-Sea-Corridor,Automotive Components,4187500.00,High,Scheduled,Yokohama,Jebel Ali
V00126,Red-006,Red Sea,Red-Sea-Corridor,Industrial Machinery,5905000.00,Medium,At Sea,Kaohsiung,Panama City
V00127,Red-007,Red Sea,Red-Sea-Corridor,Battery Cells,7322500.00,High,In Transit,Dubai,Suez
V00128,Red-008,Red Sea,Red-Sea-Corridor,Containerized Retail Goods,2740000.00,Medium,Awaiting Berth,Mumbai,Bangkok
V00129,Red-009,Red Sea,Red-Sea-Corridor,LNG Equipment,9757500.00,Critical,Customs Hold,Bangkok,Rotterdam
V00130,Red-010,Red Sea,Red-Sea-Corridor,Telecom Hardware,5475000.00,High,Scheduled,Hamburg,Manila
V00131,Red-011,Red Sea,Red-Sea-Corridor,Semiconductor Wafers,8692500.00,Critical,At Sea,Los Angeles,Singapore
V00132,Red-012,Red Sea,Red-Sea-Corridor,Crude Oil,24210000.00,Critical,In Transit,Houston,London
V00133,Red-013,Red Sea,Red-Sea-Corridor,Consumer Electronics,6627500.00,High,Awaiting Berth,Rotterdam,Kaohsiung
V00134,Red-014,Red Sea,Red-Sea-Corridor,Medical Supplies,3445000.00,High,Customs Hold,Busan,Shanghai
V00135,Red-015,Red Sea,Red-Sea-Corridor,Automotive Components,4362500.00,High,Scheduled,Yokohama,Jebel Ali
V00136,Red-016,Red Sea,Red-Sea-Corridor,Industrial Machinery,6080000.00,Medium,At Sea,Kaohsiung,Panama City
V00137,Red-017,Red Sea,Red-Sea-Corridor,Battery Cells,7497500.00,High,In Transit,Dubai,Suez
V00138,Red-018,Red Sea,Red-Sea-Corridor,Containerized Retail Goods,2915000.00,Medium,Awaiting Berth,Mumbai,Bangkok
V00139,Red-019,Red Sea,Red-Sea-Corridor,LNG Equipment,9932500.00,Critical,Customs Hold,Bangkok,Rotterdam
V00140,Red-020,Red Sea,Red-Sea-Corridor,Telecom Hardware,5650000.00,High,Scheduled,Hamburg,Manila
V00141,Red-021,Red Sea,Red-Sea-Corridor,Semiconductor Wafers,8867500.00,Critical,At Sea,Los Angeles,Singapore
V00142,Red-022,Red Sea,Red-Sea-Corridor,Crude Oil,24385000.00,Critical,In Transit,Houston,London
V00143,Red-023,Red Sea,Red-Sea-Corridor,Consumer Electronics,6802500.00,High,Awaiting Berth,Rotterdam,Kaohsiung
V00144,Red-024,Red Sea,Red-Sea-Corridor,Medical Supplies,3620000.00,High,Customs Hold,Busan,Shanghai
V00145,Red-025,Red Sea,Red-Sea-Corridor,Automotive Components,4537500.00,High,Scheduled,Yokohama,Jebel Ali
V00146,Red-026,Red Sea,Red-Sea-Corridor,Industrial Machinery,6255000.00,Medium,At Sea,Kaohsiung,Panama City
V00147,Red-027,Red Sea,Red-Sea-Corridor,Battery Cells,7672500.00,High,In Transit,Dubai,Suez
V00148,Red-028,Red Sea,Red-Sea-Corridor,Containerized Retail Goods,3090000.00,Medium,Awaiting Berth,Mumbai,Bangkok
V00149,Red-029,Red Sea,Red-Sea-Corridor,LNG Equipment,10107500.00,Critical,Customs Hold,Bangkok,Rotterdam
V00150,Red-030,Red Sea,Red-Sea-Corridor,Telecom Hardware,5825000.00,High,Scheduled,Hamburg,Manila
V00151,Red-031,Red Sea,Red-Sea-Corridor,Semiconductor Wafers,9042500.00,Critical,At Sea,Los Angeles,Singapore
V00152,Red-032,Red Sea,Red-Sea-Corridor,Crude Oil,24560000.00,Critical,In Transit,Houston,London
V00153,Red-033,Red Sea,Red-Sea-Corridor,Consumer Electronics,6977500.00,High,Awaiting Berth,Rotterdam,Kaohsiung
V00154,Red-034,Red Sea,Red-Sea-Corridor,Medical Supplies,3795000.00,High,Customs Hold,Busan,Shanghai
V00155,Red-035,Red Sea,Red-Sea-Corridor,Automotive Components,4712500.00,High,Scheduled,Yokohama,Jebel Ali
V00156,Red-036,Red Sea,Red-Sea-Corridor,Industrial Machinery,6430000.00,Medium,At Sea,Kaohsiung,Panama City
V00157,Red-037,Red Sea,Red-Sea-Corridor,Battery Cells,7847500.00,High,In Transit,Dubai,Suez
V00158,Red-038,Red Sea,Red-Sea-Corridor,Containerized Retail Goods,3265000.00,Medium,Awaiting Berth,Mumbai,Bangkok
V00159,Red-039,Red Sea,Red-Sea-Corridor,LNG Equipment,10282500.00,Critical,Customs Hold,Bangkok,Rotterdam
V00160,Red-040,Red Sea,Red-Sea-Corridor,Telecom Hardware,6000000.00,High,Scheduled,Hamburg,Manila
V00161,Red-041,Red Sea,Red-Sea-Corridor,Semiconductor Wafers,9217500.00,Critical,At Sea,Los Angeles,Singapore
V00162,Red-042,Red Sea,Red-Sea-Corridor,Crude Oil,24735000.00,Critical,In Transit,Houston,London
V00163,Red-043,Red Sea,Red-Sea-Corridor,Consumer Electronics,7152500.00,High,Awaiting Berth,Rotterdam,Kaohsiung
V00164,Red-044,Red Sea,Red-Sea-Corridor,Medical Supplies,3970000.00,High,Customs Hold,Busan,Shanghai
V00165,Red-045,Red Sea,Red-Sea-Corridor,Automotive Components,4887500.00,High,Scheduled,Yokohama,Jebel Ali
V00166,Red-046,Red Sea,Red-Sea-Corridor,Industrial Machinery,6605000.00,Medium,At Sea,Kaohsiung,Panama City
V00167,Red-047,Red Sea,Red-Sea-Corridor,Battery Cells,8022500.00,High,In Transit,Dubai,Suez
V00168,Red-048,Red Sea,Red-Sea-Corridor,Containerized Retail Goods,3440000.00,Medium,Awaiting Berth,Mumbai,Bangkok
V00169,Red-049,Red Sea,Red-Sea-Corridor,LNG Equipment,10457500.00,Critical,Customs Hold,Bangkok,Rotterdam
V00170,Red-050,Red Sea,Red-Sea-Corridor,Telecom Hardware,6175000.00,High,Scheduled,Hamburg,Manila
V00171,Red-051,Red Sea,Red-Sea-Corridor,Semiconductor Wafers,9392500.00,Critical,At Sea,Los Angeles,Singapore
V00172,Red-052,Red Sea,Red-Sea-Corridor,Crude Oil,24910000.00,Critical,In Transit,Houston,London
V00173,Red-053,Red Sea,Red-Sea-Corridor,Consumer Electronics,7327500.00,High,Awaiting Berth,Rotterdam,Kaohsiung
V00174,Red-054,Red Sea,Red-Sea-Corridor,Medical Supplies,4145000.00,High,Customs Hold,Busan,Shanghai
V00175,Red-055,Red Sea,Red-Sea-Corridor,Automotive Components,5062500.00,High,Scheduled,Yokohama,Jebel Ali
V00176,Red-056,Red Sea,Red-Sea-Corridor,Industrial Machinery,6780000.00,Medium,At Sea,Kaohsiung,Panama City
V00177,Red-057,Red Sea,Red-Sea-Corridor,Battery Cells,8197500.00,High,In Transit,Dubai,Suez
V00178,Red-058,Red Sea,Red-Sea-Corridor,Containerized Retail Goods,3615000.00,Medium,Awaiting Berth,Mumbai,Bangkok
V00179,Red-059,Red Sea,Red-Sea-Corridor,LNG Equipment,10632500.00,Critical,Customs Hold,Bangkok,Rotterdam
V00180,Red-060,Red Sea,Red-Sea-Corridor,Telecom Hardware,6350000.00,High,Scheduled,Hamburg,Manila
V00181,Red-061,Red Sea,Red-Sea-Corridor,Semiconductor Wafers,9567500.00,Critical,At Sea,Los Angeles,Singapore
V00182,Red-062,Red Sea,Red-Sea-Corridor,Crude Oil,25085000.00,Critical,In Transit,Houston,London
V00183,Red-063,Red Sea,Red-Sea-Corridor,Consumer Electronics,7502500.00,High,Awaiting Berth,Rotterdam,Kaohsiung
V00184,Red-064,Red Sea,Red-Sea-Corridor,Medical Supplies,4320000.00,High,Customs Hold,Busan,Shanghai
V00185,Red-065,Red Sea,Red-Sea-Corridor,Automotive Components,5237500.00,High,Scheduled,Yokohama,Jebel Ali
V00186,Red-066,Red Sea,Red-Sea-Corridor,Industrial Machinery,6955000.00,Medium,At Sea,Kaohsiung,Panama City
V00187,Red-067,Red Sea,Red-Sea-Corridor,Battery Cells,8372500.00,High,In Transit,Dubai,Suez
V00188,Red-068,Red Sea,Red-Sea-Corridor,Containerized Retail Goods,3790000.00,Medium,Awaiting Berth,Mumbai,Bangkok
V00189,Red-069,Red Sea,Red-Sea-Corridor,LNG Equipment,10807500.00,Critical,Customs Hold,Bangkok,Rotterdam
V00190,Red-070,Red Sea,Red-Sea-Corridor,Telecom Hardware,6525000.00,High,Scheduled,Hamburg,Manila
V00191,Red-071,Red Sea,Red-Sea-Corridor,Semiconductor Wafers,9742500.00,Critical,At Sea,Los Angeles,Singapore
V00192,Red-072,Red Sea,Red-Sea-Corridor,Crude Oil,25260000.00,Critical,In Transit,Houston,London
V00193,Red-073,Red Sea,Red-Sea-Corridor,Consumer Electronics,7677500.00,High,Awaiting Berth,Rotterdam,Kaohsiung
V00194,Red-074,Red Sea,Red-Sea-Corridor,Medical Supplies,4495000.00,High,Customs Hold,Busan,Shanghai
V00195,Red-075,Red Sea,Red-Sea-Corridor,Automotive Components,5412500.00,High,Scheduled,Yokohama,Jebel Ali
V00196,Red-076,Red Sea,Red-Sea-Corridor,Industrial Machinery,7130000.00,Medium,At Sea,Kaohsiung,Panama City
V00197,Red-077,Red Sea,Red-Sea-Corridor,Battery Cells,8547500.00,High,In Transit,Dubai,Suez
V00198,Red-078,Red Sea,Red-Sea-Corridor,Containerized Retail Goods,3965000.00,Medium,Awaiting Berth,Mumbai,Bangkok
V00199,Red-079,Red Sea,Red-Sea-Corridor,LNG Equipment,10982500.00,Critical,Customs Hold,Bangkok,Rotterdam
V00200,Red-080,Red Sea,Red-Sea-Corridor,Telecom Hardware,6700000.00,High,Scheduled,Hamburg,Manila
V00201,Red-081,Red Sea,Red-Sea-Corridor,Semiconductor Wafers,9917500.00,Critical,At Sea,Los Angeles,Singapore
V00202,Red-082,Red Sea,Red-Sea-Corridor,Crude Oil,25435000.00,Critical,In Transit,Houston,London
V00203,Red-083,Red Sea,Red-Sea-Corridor,Consumer Electronics,7852500.00,High,Awaiting Berth,Rotterdam,Kaohsiung
V00204,Red-084,Red Sea,Red-Sea-Corridor,Medical Supplies,4670000.00,High,Customs Hold,Busan,Shanghai
V00205,Red-085,Red Sea,Red-Sea-Corridor,Automotive Components,5587500.00,High,Scheduled,Yokohama,Jebel Ali
V00206,Red-086,Red Sea,Red-Sea-Corridor,Industrial Machinery,7305000.00,Medium,At Sea,Kaohsiung,Panama City
V00207,Red-087,Red Sea,Red-Sea-Corridor,Battery Cells,8722500.00,High,In Transit,Dubai,Suez
V00208,Red-088,Red Sea,Red-Sea-Corridor,Containerized Retail Goods,4140000.00,Medium,Awaiting Berth,Mumbai,Bangkok
V00209,Red-089,Red Sea,Red-Sea-Corridor,LNG Equipment,11157500.00,Critical,Customs Hold,Bangkok,Rotterdam
V00210,Red-090,Red Sea,Red-Sea-Corridor,Telecom Hardware,6875000.00,High,Scheduled,Hamburg,Manila
V00211,Red-091,Red Sea,Red-Sea-Corridor,Semiconductor Wafers,10092500.00,Critical,At Sea,Los Angeles,Singapore
V00212,Red-092,Red Sea,Red-Sea-Corridor,Crude Oil,25610000.00,Critical,In Transit,Houston,London
V00213,Red-093,Red Sea,Red-Sea-Corridor,Consumer Electronics,8027500.00,High,Awaiting Berth,Rotterdam,Kaohsiung
V00214,Red-094,Red Sea,Red-Sea-Corridor,Medical Supplies,4845000.00,High,Customs Hold,Busan,Shanghai
V00215,Red-095,Red Sea,Red-Sea-Corridor,Automotive Components,5762500.00,High,Scheduled,Yokohama,Jebel Ali
V00216,Red-096,Red Sea,Red-Sea-Corridor,Industrial Machinery,7480000.00,Medium,At Sea,Kaohsiung,Panama City
V00217,Red-097,Red Sea,Red-Sea-Corridor,Battery Cells,8897500.00,High,In Transit,Dubai,Suez
V00218,Red-098,Red Sea,Red-Sea-Corridor,Containerized Retail Goods,4315000.00,Medium,Awaiting Berth,Mumbai,Bangkok
